instrument family,instrument,technique original,modulation technique,file_name,subset,label
Trombones,Tenor-Trombone-harmon,flatterzunge,flatterzunge,TTbn+H-flatt-A2-mf.wav,training,4
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-D#2-ff.wav,training,4
Strings,Contrabass,tremolo,tremolo,Cb-trem-G#1-pp-4c.wav,training,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-E5-ff.wav,training,4
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-G5-mf-3c.wav,validation,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-G3-mf.wav,training,3
Strings,Contrabass,tremolo,tremolo,Cb-trem-F2-pp-2c.wav,training,2
Strings,Violoncello,trill-minor-second-up,trill,Vc-trill-min2-C5-mf-1c.wav,training,1
Trumpets,Trumpet-C,ordinario-to-flatterzunge,flatterzunge,TpC-ord_flatt-E4-f.wav,test,4
Strings,Violin,tremolo,tremolo,Vn-trem-D6-ff-1c.wav,validation,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A4-mf-3c.wav,validation,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-G#3-mf-1c.wav,training,2
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-C4-ff.wav,training,4
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-A1-p.wav,training,3
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-F5-pp.wav,test,4
Saxophones,Alto-Sax,trill-major-second-up,trill,ASax-trill-maj2-A4-mf.wav,test,1
Strings,Contrabass,tremolo-to-ordinario,tremolo,Cb-trem_ord-A#3-mf-1c.wav,training,2
Tubas,Bass-Tuba,bisbigliando,bisbigliando,BBTb-bisb-A1-mf.wav,training,3
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-D3-pp.wav,training,4
Oboes,Oboe,vibrato,vibrato,Ob-vib-D4-mf.wav,validation,0
Flutes,Flute,ordinario-to-flatterzunge,flatterzunge,Fl-ord_flatt-C6-mf.wav,validation,4
Clarinets,Clarinet-Bb,trill-minor-second-up,trill,BbCl-trill-min2-D4-mf.wav,test,1
Tubas,Bass-Tuba,flatterzunge-to-ordinario,flatterzunge,BBTb-flatt_ord-C4-mf.wav,test,4
Strings,Violin,tremolo,tremolo,Vn-trem-C5-mf-3c.wav,training,2
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-C#5-mf.wav,training,3
Tubas,Bass-Tuba,ordinario-to-flatterzunge,flatterzunge,BBTb-ord_flatt-C#3-mf.wav,training,4
Bassoons,Bassoon,trill-major-second-up,trill,Bn-trill-maj2-A#1-mf.wav,training,1
Trombones,Tenor-Trombone,flatterzunge-no-mouthpiece,flatterzunge,TTbn-flatt-no-mthpc-D5-f.wav,test,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-A#6-mf.wav,training,4
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-C#6-mf-2c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-A#3-pp-4c.wav,test,2
Tubas,Bass-Tuba,flatterzunge-and-voice-unison,flatterzunge,BBTb-flatt+voice-uni-B3-mf.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-A#4-pp-1c.wav,test,2
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-D3-mf-2c.wav,training,2
Flutes,Flute,trill-major-second-up,trill,Fl-trill-maj2-A4-mf.wav,training,1
Strings,Viola,ordinario-to-tremolo,tremolo,Va-ord_trem-F6-mf.wav,training,2
Strings,Contrabass,sul-tasto-tremolo,tremolo,Cb-tasto-trem-C#3-mf-3c.wav,training,2
Trombones,Tenor-Trombone-wah,flatterzunge-open,flatterzunge,TTbn+W-flatt-open-C4-mf.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-C6-pp-1c.wav,training,2
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-G#2-mf-1c.wav,validation,2
Trombones,Tenor-Trombone-cup,flatterzunge,flatterzunge,TTbn+C-flatt-E4-mf.wav,training,4
Strings,Viola,ordinario-to-tremolo,tremolo,Va-ord_trem-F#4-mf.wav,training,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-A#4-p.wav,training,3
Tubas,Bass-Tuba,ordinario-to-flatterzunge,flatterzunge,BBTb-ord_flatt-G3-mf.wav,training,4
Strings,Viola,artificial-harmonic-tremolo,tremolo,Va-art-harm-trem-A6-mf-2c.wav,training,2
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-B4-mf-2c.wav,validation,2
Strings,Viola-sordina-piombo,tremolo,tremolo,Va+SP-trem-A6-mf-1c.wav,training,2
Tubas,Bass-Tuba,trill-major-second-up,trill,BBTb-trill-maj2-G#2-mf.wav,training,1
Strings,Viola,tremolo,tremolo,Va-trem-D4-pp-3c.wav,validation,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-G#2-mf.wav,training,3
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-D#3-mf.wav,training,4
Horns,Horn-sordina,flatterzunge,flatterzunge,Hn+S-flatt-C4-mf.wav,training,4
Strings,Violin,tremolo,tremolo,Vn-trem-G#5-ff-2c.wav,training,2
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-G#6-mf-3c.wav,training,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-D#2-mf-2c.wav,training,2
Strings,Violin,tremolo-to-ordinario,tremolo,Vn-trem_ord-C6-mf.wav,training,2
Strings,Viola-sordina,tremolo,tremolo,Va+S-trem-A3-mf-3c.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-F#3-pp-1c.wav,training,2
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-C#4-mf-4c.wav,training,2
Strings,Viola,tremolo-to-ordinario,tremolo,Va-trem_ord-C#4-mf.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-F3-ff-2c.wav,training,2
Trumpets,Trumpet-C-wah,flatterzunge-open,flatterzunge,TpC+W-flatt-open-E5-mf.wav,test,4
Strings,Viola,tremolo,tremolo,Va-trem-C6-mf-1c.wav,test,2
Trombones,Tenor-Trombone-wah,flatterzunge-closed,flatterzunge,TTbn+W-flatt-closed-F#3-mf.wav,validation,4
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-D2-mf-4c.wav,training,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-C#7-ff.wav,training,4
Strings,Violin,ordinario-to-tremolo,tremolo,Vn-ord_trem-G4-mf.wav,training,2
Trumpets,Trumpet-C,flatterzunge,flatterzunge,TpC-flatt-A4-ff.wav,training,4
Bassoons,Bassoon,trill-minor-second-up,trill,Bn-trill-min2-D3-mf.wav,training,1
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-A3-mf-4c.wav,training,2
Trombones,Tenor-Trombone,ordinario-to-flatterzunge,flatterzunge,TTbn-ord_flatt-G4-f.wav,training,4
Strings,Viola,tremolo,tremolo,Va-trem-C#5-pp-2c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-A#3-mf-3c.wav,training,2
Trumpets,Trumpet-C,trill-minor-second-up,trill,TpC-trill-min2-B5-mf.wav,validation,1
Flutes,Flute,trill-minor-second-up,trill,Fl-trill-min2-A#6-mf.wav,training,1
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-F4-mf-3c.wav,test,1
Strings,Violoncello,tremolo-to-ordinario,tremolo,Vc-trem_ord-C5-mf-1c.wav,training,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-E1-p.wav,test,3
Strings,Viola,tremolo,tremolo,Va-trem-C4-ff-3c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-A2-pp-4c.wav,validation,2
Strings,Violoncello-sordina-piombo,tremolo,tremolo,Vc+SP-trem-C#2-mf-4c.wav,test,2
Strings,Violoncello,trill-minor-second-up,trill,Vc-trill-min2-A3-mf-1c.wav,training,1
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-E4-pp.wav,training,4
Horns,Horn,flatterzunge-stopped,flatterzunge,Hn-flatt-stopped-B2-mf.wav,test,4
Strings,Viola,tremolo,tremolo,Va-trem-C3-mf-4c.wav,training,2
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-C5-mf-1c.wav,training,2
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-E4-mf-2c.wav,training,1
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-C#5-mf-2c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-F3-ff-2c.wav,validation,2
Bassoons,Bassoon,trill-major-second-up,trill,Bn-trill-maj2-A2-mf.wav,training,1
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-G6-mf-3c.wav,test,2
Horns,Horn,flatterzunge-to-ordinario,flatterzunge,Hn-flatt_ord-D2-f.wav,training,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-G#6-ff.wav,test,2
Trombones,Tenor-Trombone-harmon,flatterzunge,flatterzunge,TTbn+H-flatt-F3-mf.wav,training,4
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-D2-mf-3c.wav,training,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-C2-mf-3c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-C5-pp-4c.wav,training,2
Strings,Violoncello,trill-minor-second-up,trill,Vc-trill-min2-D5-mf-1c.wav,training,1
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-A5-mf-1c.wav,validation,2
Strings,Violin,tremolo,tremolo,Vn-trem-B5-mf-2c.wav,training,2
Oboes,Oboe,flatterzunge,flatterzunge,Ob-flatt-F6-mf.wav,test,4
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-G#2-f.wav,validation,0
Trumpets,Trumpet-C,ordinario-to-flatterzunge,flatterzunge,TpC-ord_flatt-D4-f.wav,test,4
Strings,Contrabass,tremolo-to-ordinario,tremolo,Cb-trem_ord-C#2-mf.wav,training,2
Saxophones,Alto-Sax,ordinario-to-flatterzunge,flatterzunge,ASax-ord_flatt-A#3-mf.wav,training,4
Flutes,Flute,flatterzunge-to-ordinario,flatterzunge,Fl-flatt_ord-C#5-mf.wav,training,4
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-A5-mf-1c.wav,test,1
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-C6-mf-1c.wav,training,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-G4-fff.wav,training,0
Strings,Violin,tremolo,tremolo,Vn-trem-G5-mf-2c.wav,validation,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-F#5-ff.wav,training,4
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-F6-mf-3c.wav,test,2
Tubas,Bass-Tuba,trill-major-second-up,trill,BBTb-trill-maj2-F2-mf.wav,validation,1
Strings,Viola,tremolo,tremolo,Va-trem-G#3-pp-3c.wav,validation,2
PluckedStrings,Harp,bisbigliando,bisbigliando,Hp-bisb-C7-mf.wav,validation,3
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-E5-mf-3c.wav,test,2
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-D#3-pp.wav,training,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-D4-pp-1c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-A6-pp-1c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-F#4-mf-2c.wav,validation,2
Horns,Horn,trill-minor-second-up,trill,Hn-trill-min2-B1-mf.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-G#6-mf-2c.wav,training,2
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-B4-mf-1c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-A4-mf-2c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-D5-mf-3c.wav,test,2
Strings,Violin,tremolo,tremolo,Vn-trem-D6-ff-2c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-A#3-ff-4c.wav,training,2
Bassoons,Bassoon,flatterzunge,flatterzunge,Bn-flatt-E4-mf.wav,training,4
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-E3-mf-4c.wav,training,1
Oboes,Oboe,trill-minor-second-up,trill,Ob-trill-min2-E6-mf.wav,training,1
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-F#6-pp.wav,training,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-A3-ff-2c.wav,training,2
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-E6-ff.wav,training,4
Strings,Violoncello,ordinario-to-tremolo,tremolo,Vc-ord_trem-D3-mf.wav,validation,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-G#1-ff-4c.wav,validation,2
Strings,Contrabass,trill-minor-second-up,trill,Cb-trill-min2-G#1-mf-4c.wav,training,1
Strings,Contrabass,trill-minor-second-up,trill,Cb-trill-min2-D2-mf-4c.wav,training,1
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-F3-mf.wav,training,0
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-A6-mf-1c.wav,test,2
Trumpets,Trumpet-C,ordinario-to-flatterzunge,flatterzunge,TpC-ord_flatt-A4-f.wav,training,4
Clarinets,Clarinet-Bb,flatterzunge-high-register,flatterzunge,BbCl-flatt-hi-reg-A#6-mf.wav,validation,4
Strings,Viola,tremolo,tremolo,Va-trem-D6-ff-2c.wav,training,2
Strings,Violin,ordinario-to-tremolo,tremolo,Vn-ord_trem-E4-mf-3c.wav,test,2
Bassoons,Bassoon,flatterzunge,flatterzunge,Bn-flatt-G#3-mf.wav,test,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-C4-ff.wav,training,4
Strings,Contrabass,sul-tasto-tremolo,tremolo,Cb-tasto-trem-F#3-mf-2c.wav,training,2
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-F#4-mf-3c.wav,test,1
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-B3-mf-1c.wav,training,2
Tubas,Bass-Tuba,ordinario-to-flatterzunge,flatterzunge,BBTb-ord_flatt-D3-mf.wav,test,4
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-D3-mf-2c.wav,validation,2
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-F5-mf-2c.wav,test,2
Trombones,Tenor-Trombone,ordinario-to-flatterzunge,flatterzunge,TTbn-ord_flatt-D#2-f.wav,test,4
Strings,Violoncello,tremolo,tremolo,Vc-trem-C#3-pp-3c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-G#4-ff-3c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-F#2-pp-2c.wav,test,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-D#3-ff-3c.wav,validation,2
Strings,Violin,tremolo-to-ordinario,tremolo,Vn-trem_ord-B3-mf.wav,training,2
Horns,Horn,flatterzunge-to-ordinario,flatterzunge,Hn-flatt_ord-A#4-f.wav,training,4
Strings,Viola,sul-tasto-tremolo,tremolo,Va-tasto-trem-G5-mf-2c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-A#1-mf-4c.wav,test,2
Strings,Contrabass,sul-tasto-tremolo,tremolo,Cb-tasto-trem-D3-mf-1c.wav,training,2
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-D#4-mf.wav,test,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-F6-mf-1c 1.wav,training,2
Tubas,Bass-Tuba,ordinario-to-flatterzunge,flatterzunge,BBTb-ord_flatt-B3-mf.wav,training,4
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-C#2-f.wav,training,4
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-F#5-mf-2c.wav,validation,2
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-F4-mf-1c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-F#3-mf-3c.wav,validation,2
Strings,Viola,tremolo,tremolo,Va-trem-C5-mf-4c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-A4-mf-4c.wav,training,2
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-A#4-mf-3c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-E4-mf.wav,test,4
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-A2-pp.wav,training,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-F#6-mf.wav,training,4
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-A#4-mf-2c.wav,test,1
Saxophones,Alto-Sax,trill-minor-second-up,trill,ASax-trill-min2-D#5-mf.wav,training,1
Oboes,Oboe,vibrato,vibrato,Ob-vib-G5-mf.wav,training,0
Strings,Contrabass,artificial-harmonic-tremolo,tremolo,Cb-art-harm-trem-A#4-mf-2c.wav,validation,2
Trombones,Tenor-Trombone,flatterzunge-to-ordinario,flatterzunge,TTbn-flatt_ord-E3-f.wav,training,4
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-F2-mf-2c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-D3-mf-2c.wav,training,2
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-C5-ff.wav,test,4
Saxophones,Alto-Sax,bisbigliando,bisbigliando,ASax-bisb-A#4-mf.wav,training,3
Bassoons,Bassoon,vibrato,vibrato,Bn-vib-F#3-mf.wav,training,0
Strings,Viola,trill-major-second-up,trill,Va-trill-maj2-F3-mf-4c.wav,training,1
Strings,Violoncello,artificial-harmonic-tremolo,tremolo,Vc-art-harm-trem-E6-mf-1c.wav,validation,2
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-E5-mf-1c.wav,training,1
Strings,Violin,tremolo,tremolo,Vn-trem-A4-mf-3c.wav,training,2
Tubas,Bass-Tuba,flatterzunge-and-voice-unison,flatterzunge,BBTb-flatt+voice-uni-G2-mf.wav,test,4
Trombones,Tenor-Trombone,ordinario-to-flatterzunge,flatterzunge,TTbn-ord_flatt-A3-f.wav,training,4
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-F2-f.wav,training,4
Horns,Horn,trill-major-second-up,trill,Hn-trill-maj2-C#5-mf.wav,training,1
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-C#6-pp-1c.wav,training,2
Strings,Violin,trill-major-second-up,trill,Vn-trill-maj2-G#4-mf-4c.wav,training,1
Oboes,Oboe,double-trill-minor-second-up,trill,Ob-dbl-trill-min2-A4-mf.wav,validation,1
Trumpets,Trumpet-C,ordinario-to-flatterzunge,flatterzunge,TpC-ord_flatt-C5-f.wav,training,4
Clarinets,Clarinet-Bb,flatterzunge-high-register,flatterzunge,BbCl-flatt-hi-reg-B6-ff.wav,training,4
Flutes,Flute,trill-major-second-up,trill,Fl-trill-maj2-C4-mf.wav,validation,1
Oboes,Oboe,flatterzunge,flatterzunge,Ob-flatt-G6-mf.wav,validation,4
Strings,Viola,sul-ponticello-tremolo,tremolo,Va-pont-trem-G#3-mf-3c.wav,validation,2
Oboes,Oboe,vibrato,vibrato,Ob-vib-F4-mf.wav,training,0
Strings,Contrabass-sordina,tremolo,tremolo,Cb+S-trem-E1-mf-4c.wav,test,2
Flutes,Flute,trill-minor-second-up,trill,Fl-trill-min2-C7-mf.wav,training,1
Trumpets,Trumpet-C-straight,flatterzunge,flatterzunge,TpC+S-flatt-D4-mf.wav,training,4
Strings,Violin-sordina-piombo,tremolo,tremolo,Vn+SP-trem-F4-mf-3c.wav,validation,2
Strings,Violin,tremolo,tremolo,Vn-trem-A#6-ff-1c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-F#6-ff.wav,training,4
Strings,Contrabass,trill-major-second-up,trill,Cb-trill-maj2-F3-mf-1c.wav,validation,1
Strings,Contrabass,trill-major-second-up,trill,Cb-trill-maj2-C2-mf-3c.wav,training,1
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-B2-mf.wav,training,4
Strings,Contrabass,ordinario-to-tremolo,tremolo,Cb-ord_trem-G#3-mf.wav,training,2
Strings,Contrabass,ordinario-to-tremolo,tremolo,Cb-ord_trem-D3-mf.wav,validation,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-F#5-ff-1c.wav,test,2
Oboes,Oboe,flatterzunge,flatterzunge,Ob-flatt-D#6-mf.wav,test,4
Horns,Horn,flatterzunge-stopped,flatterzunge,Hn-flatt-stopped-E2-mf.wav,training,4
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-G2-mf-4c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-A2-ff-3c.wav,training,2
Strings,Contrabass,sul-ponticello-tremolo,tremolo,Cb-pont-trem-C3-mf-3c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-E4-mf-3c.wav,validation,2
Strings,Viola,tremolo,tremolo,Va-trem-D#5-mf-2c.wav,test,2
Strings,Viola-sordina,tremolo,tremolo,Va+S-trem-C#5-mf-2c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-B2-mf-4c.wav,training,2
Strings,Violin,trill-minor-second-up,trill,Vn-trill-min2-B3-mf-4c.wav,training,1
Strings,Viola,tremolo,tremolo,Va-trem-C#3-pp-4c.wav,training,2
Horns,Horn,flatterzunge-stopped,flatterzunge,Hn-flatt-stopped-F#3-mf.wav,training,4
Strings,Violoncello,tremolo-to-ordinario,tremolo,Vc-trem_ord-A4-mf.wav,training,2
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-G#3-mf-4c.wav,validation,2
Trombones,Tenor-Trombone-wah,flatterzunge-closed,flatterzunge,TTbn+W-flatt-closed-C#4-mf.wav,test,4
Strings,Violin,sul-ponticello-tremolo,tremolo,Vn-pont-trem-G#4-mf-4c.wav,test,2
Strings,Viola,tremolo,tremolo,Va-trem-D5-mf-2c.wav,training,2
Strings,Violoncello,ordinario-to-tremolo,tremolo,Vc-ord_trem-F3-mf.wav,test,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-C#3-pp-2c.wav,validation,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-A#2-pp-2c.wav,test,2
Bassoons,Bassoon,vibrato,vibrato,Bn-vib-F3-mf.wav,training,0
Strings,Violin,artificial-harmonic-tremolo,tremolo,Vn-art-harm-trem-A#6-mf-2c.wav,training,2
Oboes,Oboe,double-trill-minor-second-up,trill,Ob-dbl-trill-min2-E4-mf.wav,test,1
Strings,Viola,artificial-harmonic-tremolo,tremolo,Va-art-harm-trem-F7-mf-1c.wav,training,2
Trumpets,Trumpet-C-straight,flatterzunge,flatterzunge,TpC+S-flatt-A#3-mf.wav,training,4
Trombones,Tenor-Trombone-wah,flatterzunge-open,flatterzunge,TTbn+W-flatt-open-C#4-mf.wav,training,4
Strings,Viola,trill-minor-second-up,trill,Va-trill-min2-F5-mf-1c.wav,training,1
Clarinets,Clarinet-Bb,trill-minor-second-up,trill,BbCl-trill-min2-A3-mf.wav,training,1
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-A#4-mf-1c.wav,training,2
Trombones,Tenor-Trombone,vibrato,vibrato,TTbn-vib-G2-fff.wav,training,0
Strings,Contrabass,artificial-harmonic-tremolo,tremolo,Cb-art-harm-trem-F#5-mf-1c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-A#4-ff-2c.wav,training,2
Horns,Horn,flatterzunge-stopped,flatterzunge,Hn-flatt-stopped-A3-mf.wav,test,4
Trumpets,Trumpet-C-harmon,flatterzunge,flatterzunge,TpC+H-flatt-A5-mf.wav,training,4
Flutes,Flute,flatterzunge,flatterzunge,Fl-flatt-A4-ff.wav,validation,4
Strings,Violin,ordinario-to-tremolo,tremolo,Vn-ord_trem-G#4-mf-3c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-B5-pp.wav,training,4
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-D6-ff.wav,training,4
Strings,Viola,tremolo-to-ordinario,tremolo,Va-trem_ord-F#4-mf-3c.wav,test,2
Strings,Violoncello,sul-ponticello-tremolo,tremolo,Vc-pont-trem-G2-mf-4c.wav,training,2
Strings,Violoncello,tremolo,tremolo,Vc-trem-E2-ff-4c.wav,training,2
Saxophones,Alto-Sax,bisbigliando,bisbigliando,ASax-bisb-E5-mf.wav,validation,3
Horns,Horn,trill-minor-second-up,trill,Hn-trill-min2-C#2-mf.wav,training,1
Strings,Viola-sordina-piombo,tremolo,tremolo,Va+SP-trem-F#4-mf-2c.wav,training,2
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-C4-mf.wav,training,4
Clarinets,Clarinet-Bb,flatterzunge,flatterzunge,BbCl-flatt-E5-mf.wav,training,4
Horns,Horn,ordinario-to-flatterzunge,flatterzunge,Hn-ord_flatt-C#4-f.wav,test,4
Trombones,Tenor-Trombone-straight,flatterzunge,flatterzunge,TTbn+S-flatt-A#2-mf.wav,training,4
Bassoons,Bassoon,trill-major-second-up,trill,Bn-trill-maj2-B3-mf.wav,validation,1
Tubas,Bass-Tuba,flatterzunge,flatterzunge,BBTb-flatt-G#3-mf.wav,validation,4
Horns,Horn,flatterzunge,flatterzunge,Hn-flatt-A#2-ff.wav,training,4
Trumpets,Trumpet-C-cup,flatterzunge,flatterzunge,TpC+C-flatt-D4-mf.wav,validation,4
Strings,Viola-sordina-piombo,tremolo,tremolo,Va+SP-trem-G#6-mf-1c.wav,training,2
Strings,Violin,tremolo,tremolo,Vn-trem-E6-mf-2c.wav,training,2
Strings,Violin-sordina-piombo,tremolo,tremolo,Vn+SP-trem-G#3-mf-4c.wav,training,2
Strings,Violoncello,sul-tasto-tremolo,tremolo,Vc-tasto-trem-A#2-mf-3c.wav,training,2
Strings,Violin,ordinario-to-tremolo,tremolo,Vn-ord_trem-F4-mf-4c.wav,test,2
Clarinets,Clarinet-Bb,trill-minor-second-up,trill,BbCl-trill-min2-C4-mf.wav,training,1
Tubas,Bass-Tuba,trill-minor-second-up,trill,BBTb-trill-min2-D4-mf.wav,test,1
Strings,Contrabass,tremolo,tremolo,Cb-trem-B1-ff-3c.wav,training,2
Strings,Viola,tremolo,tremolo,Va-trem-F4-pp-3c.wav,training,2
Strings,Contrabass,tremolo,tremolo,Cb-trem-C2-mf-3c.wav,validation,2
Strings,Violin,tremolo,tremolo,Vn-trem-A#4-ff-3c.wav,test,2
Flutes,Flute,ordinario-to-flatterzunge,flatterzunge,Fl-ord_flatt-D#5-mf.wav,training,4
Strings,Violin-sordina-piombo,tremolo,tremolo,Vn+SP-trem-C6-mf-1c.wav,test,2
PluckedStrings,Harp,bisbigliando-with-stick,bisbigliando,Hp-bisb+stick-F#6-mf.wav,training,3
Trombones,Tenor-Trombone,flatterzunge,flatterzunge,TTbn-flatt-D#2-pp.wav,training,4
Trombones,Tenor-Trombone-harmon,flatterzunge,flatterzunge,TTbn+H-flatt-C4-mf.wav,training,4
Strings,Violin-sordina,tremolo,tremolo,Vn+S-trem-A6-ff-1c.wav,training,2
